Video_ID	Title	Blurb	Category_A	Category_B	Category_C	Language	Length_of_Video	Marked_Price	Rating	Reviews_Num	Selling_Price	Students_Num	Students_of_Tch_1	Name_of_Tch_1_x	Courses_of_Tch_1	Reviews_of_Tch_1	Rating_of_Tch_1	Url	showup	smile_proportion	beginning	middle	end	Intensity	asymmetry	beauty	quality	video_length	Name_of_Tch_1_y	gender	path	preview	male	description_length	log_description_length
42197	Options Spreads Bundle-  the heart of Options Trading	Master the art of constructing and managing Option spreads, and you have a skill for consistent monthly performance.	Finance & Accounting	Investing & Trading	Options Trading	English	3 hours	79.99	4.264839	129	14.99	1234	94833	Hari Swaminathan	31	14573	4.420163269	https://www.udemy.com/course/options-spreads-explained/	0								0.6452602744102478	698.7666666666667	Hari Swaminathan	male	/home/xyubl/Downloads/video_661-740/42197.mp4	1	1	18	2.8903717578961645
42491	CREDIT SPREAD SURGERY - Bear Call and Bull Put Mastery	Master the Bear Call and Bull Put Options Trading strategies and create the foundation for consistent performance.	Finance & Accounting	Investing & Trading	Credit Analysis	English	2 hours	39.99	4.7916746	165	14.99	1291	94833	Hari Swaminathan	31	14573	4.420163269	https://www.udemy.com/course/advanced-credit-spreads/	0	1.0	1.0	1.0	1.0	0.3763161420930232	0.7817888132117965	3.132595731976745	0.758482813835144	371.3333333333333	Hari Swaminathan	male	/home/xyubl/Downloads/video_661-740/42491.mp4	1	1	17	2.833213344056216
42634	Advanced Options Concepts - Probability, Greeks, Simulation	Deep dive into Probability, Greek subtleties, and Options simulation. Learn how they affect Option prices and strategies	Finance & Accounting	Investing & Trading	Options Trading	English	2 hours	39.99	4.120215	498	14.99	3601	94833	Hari Swaminathan	31	14573	4.420163269	https://www.udemy.com/course/advanced-options-analysis/	0	1.0	1.0	1.0	1.0	0.3517791551932362	0.8219009728462745	3.257858202415462	0.7496920228004456	274.5	Hari Swaminathan	male	/home/xyubl/Downloads/video_661-740/42634.mp4	1	1	17	2.833213344056216
42640	Technical Analysis - A practical approach for trade entry	Technical Analysis is a vital tool to assist in proper trade entry. A great entry increases your chances of success.	Finance & Accounting	Investing & Trading	Technical Analysis	English	2 hours	39.99	3.8907003	172	14.99	1361	94833	Hari Swaminathan	31	14573	4.420163269	https://www.udemy.com/course/learn-technical-analysis/	0	0.2906976744186046	0.8620689655172413	0.0	0.0	0.4151387034302322	1.2185857017416482	3.14415090174418	0.697778582572937	663.5666666666667	Hari Swaminathan	male	/home/xyubl/Downloads/video_661-740/42640.mp4	1	1	20	2.995732273553991
42642	The Basics Of Volume Analysis	Learn strategies to spot and track the Big Players and their trends trends. Volume analysis is a key skill.	Finance & Accounting	Investing & Trading	Volume Analysis	English	2 hours	39.99	4.2917604	177	14.99	1190	94833	Hari Swaminathan	31	14573	4.420163269	https://www.udemy.com/course/volume-analysis-basis/	0	1.0	1.0	1.0	1.0	0.3153734207716542	0.4215284566582872	3.1551898456692777	0.7574886083602905	359.06666666666666	Hari Swaminathan	male	/home/xyubl/Downloads/video_661-740/42642.mp4	1	1	19	2.9444389791664403
42643	Master Iron Condors - Double the credit for half the risk	"The Iron Condor is one of the most popular Options strategies, and it is the undisputed ""King of Time Decay strategies""."	Finance & Accounting	Investing & Trading	Options Trading	English	1.5 hours	39.99	4.6461697	342	14.99	2726	94833	Hari Swaminathan	31	14573	4.420163269	https://www.udemy.com/course/iron-condor-options-trading-strategy/	0								0.5904481410980225	338.2	Hari Swaminathan	male	/home/xyubl/Downloads/video_661-740/42643.mp4	1	1	21	3.044522437723423
42645	Backspreads, Diagonals and Butterflies - Advanced Strategies	This course combines 3 advanced spreads - Backspreads, Diagonals (and Double diagonals), and Butterfly spreads.	Finance & Accounting	Investing & Trading	Options Trading	English	2 hours	39.99	3.9672937	106	14.99	1407	94833	Hari Swaminathan	31	14573	4.420163269	https://www.udemy.com/course/calendars-diagonals-butterfly-spreads/	0	1.0	1.0	1.0	1.0	0.3380046137934791	0.9300526628440458	3.189419312608687	0.7595745921134949	512.5666666666667	Hari Swaminathan	male	/home/xyubl/Downloads/video_661-740/42645.mp4	1	1	15	2.70805020110221
42651	Straddles and Strangles - Volatility moves in any direction	Straddles and Strangles are non-directional strategies that can profit from big moves in any direction	Finance & Accounting	Investing & Trading	Stock Trading	English	1.5 hours	39.99	4.4822598	202	14.99	2162	94833	Hari Swaminathan	31	14573	4.420163269	https://www.udemy.com/course/straddles-and-strangles/	0								0.5373676419258118	492.03333333333336	Hari Swaminathan	male	/home/xyubl/Downloads/video_661-740/42651.mp4	1	1	15	2.70805020110221
43319	Options Trading Basics (3-Course Bundle)	A bundle combines 1)Intro to Call and Put Options 2) Time decay, Implied Volatility, Greeks 3) Call and Puts Live trades	Finance & Accounting	Investing & Trading	Options Trading	English	11.5 hours	89.99	4.513265	6339	15.99	38743	94833	Hari Swaminathan	31	14573	4.420163269	https://www.udemy.com/course/learn-options-trading-courses/	0	0.0	0.0	0.0	0.0	0.5101202040540537	1.1941137598544624	3.1539896800000107	0.6652225852012634	485.8	Hari Swaminathan	male	/home/xyubl/Downloads/video_661-740/43319.mp4	1	1	21	3.044522437723423
43441	"Master ""Technical Analysis and Chart reading skills"" Bundle"	"Master Technical analysis, Volume analysis, Tracking ""Big Players"" and become a Chart analysis expert"	Finance & Accounting	Financial Modeling & Analysis	Technical Analysis	English	3 hours	84.99	4.4878645	1405	14.99	8006	94833	Hari Swaminathan	31	14573	4.420163269	https://www.udemy.com/course/master-technical-analysis-and-chart-reading-skills-bundle/	0	0.2906976744186046	0.8620689655172413	0.0	0.0	0.4151387034302322	1.2185857017416482	3.14415090174418	0.697778582572937	663.5666666666667	Hari Swaminathan	male	/home/xyubl/Downloads/video_661-740/43441.mp4	1	1	14	2.6390573296152584
44319	Master Calendar Spreads with this live trade on Gold (GLD)	"Calendar spreads (aka ""Time Spreads"" or ""Horizontal Spreads"") are an effective Time decay and non-directional strategy."	Finance & Accounting	Investing & Trading	Options Trading	English	1 hour	39.99	4.3708525	96	14.99	892	94833	Hari Swaminathan	31	14573	4.420163269	https://www.udemy.com/course/calendar-spreads/	0								0.5488277673721313	253.4	Hari Swaminathan	male	/home/xyubl/Downloads/video_661-740/44319.mp4	1	1	16	2.772588722239781
44836	Option Spreads and Credit Spreads Bundle	"This 2-course bundle on Option spreads and Credit Spreads surgery is the bedrock of stable ""Monthly Strategies"""	Finance & Accounting	Investing & Trading	Options Trading	English	4.5 hours	84.99	4.568534	727	14.99	7343	94819	Hari Swaminathan	31	14573	4.420163269	https://www.udemy.com/course/option-spreads-and-credit-spreads-bundle/	0								0.6452602744102478	698.7666666666667	Hari Swaminathan	male	/home/xyubl/Downloads/video_661-740/44836.mp4	1	1	17	2.833213344056216
45136	Weekly Options and study of Options expiration dynamics	Options behavior in the final 2 weeks before expiry is dramatic. This course analyzes Weekly Options until the final day	Finance & Accounting	Investing & Trading	Options Trading	English	1 hour	39.99	4.150053	263	14.99	2558	94833	Hari Swaminathan	31	14573	4.420163269	https://www.udemy.com/course/weekly-options/	0								0.6279097199440002	169.2	Hari Swaminathan	male	/home/xyubl/Downloads/video_661-740/45136.mp4	1	1	20	2.995732273553991
45139	"Get to know the VIX Index (aka ""The Fear Index"")"	"The VIX Index is one of the most watched indexes in the markets. Learn how VIX measures ""Fear"" and its impact on Options"	Finance & Accounting	Investing & Trading	Stock Trading	English	1.5 hours	39.99	4.715254	151	14.99	1234	94833	Hari Swaminathan	31	14573	4.420163269	https://www.udemy.com/course/vix-index/	0								0.6175282001495361	91.03333333333332	Hari Swaminathan	male	/home/xyubl/Downloads/video_661-740/45139.mp4	1	1	23	3.1354942159291497
46010	TechniTrader Leading Hybrid Indicator Trading	Learn from Martha Stokes, CMT how to set up leading hybrid indicators that can significantly improve your trading.	Finance & Accounting	Investing & Trading	Stock Trading	English	1 hour	19.99	3.7439344	71	14.99	4173	4180	Co-Founder & CEO of TechniTraderR	1	71	3.744181	https://www.udemy.com/course/leading-hybrid-indicator-trading/	1	0.0581270182992465	0.1	0.0548387096774193	0.0194174757281553	0.3795983976754577	0.7000160249152951	3.541099507857913	0.6916354894638062	421.8214	Co-Founder & CEO of TechniTraderR	female	/home/xyubl/Downloads/video_661-740/46010.mp4	1	0	18	2.8903717578961645
46927	Basics of Business Finance	Basic Accounting, Financial Statement Analysis, Using Excel to build Financials	Finance & Accounting	Finance	Finance Fundamentals	English	4 hours	29.99	4.7387605	303	14.99	5641	5660	Binny Mathews	3	303	4.573867	https://www.udemy.com/course/basics-of-business-finance/	1	0.013191273465246	0.0136986301369863	0.0045662100456621	0.0213089802130898	0.2138624344881786	0.4616634403294939	2.581013256468801	0.6720353364944458	410.5	Binny Mathews	male	/home/xyubl/Downloads/video_661-740/46927.mp4	1	1	10	2.302585092994046
48841	Accounting in 60 Minutes - A Brief Introduction	Learn the very basics of accounting in just about an hour.	Finance & Accounting	Accounting & Bookkeeping	Accounting	English	1 hour	34.99	4.5104995	10582	14.99	83943	89168	Vincent Turner	3	11013	4.487801189	https://www.udemy.com/course/accounting-in-60-minutes-a-brief-introduction/	1	0.0	0.0	0.0	0.0	0.343078737704918	0.2082186672947893	2.6966810658469904	0.8359371423721313	66.73333333333333	Vincent Turner	male	/home/xyubl/Downloads/video_661-740/48841.mp4	1	1	11	2.3978952727983707
49886	Business Analysis:  Working with Use Cases	An introductory course on use case modeling for Business Analysts or those looking to transition into a BA role.	Finance & Accounting	Financial Modeling & Analysis	Business Analysis	English	2 hours	84.99	4.5560517	2790	14.99	13905	84609	Don Hussey	7	29060	4.514767874	https://www.udemy.com/course/usecases/	0	0.0	0.0	0.0	0.0	0.4655162367301583	1.185249378588005	3.143465505079363	0.6360684633255005	188.83333333333331	Don Hussey	male	/home/xyubl/Downloads/video_741-820/49886.mp4	1	1	19	2.9444389791664403
57415	Interpreting Financial Statements	Master the Wall Street methods for understanding, analyzing and interpreting company financial statements	Finance & Accounting	Financial Modeling & Analysis	Financial Statement	English	1.5 hours	19.99	4.548233	154	14.99	1968	1968	Austin Higgins	1	154	4.548227	https://www.udemy.com/course/financialstatements/	1	0.0329457364341085	0.0348837209302325	0.0348837209302325	0.0290697674418604	0.3074744776996125	0.706304659616616	3.31788841608527	0.742949366569519	90.0	Austin Higgins	male	/home/xyubl/Downloads/video_741-820/57415.mp4	1	1	13	2.5649493574615367
58977	Financial Statements Made Easy	Learn the basics of the Income Statement, Balance Sheet and Cash Flow Statement and understand how they fit together.	Finance & Accounting	Finance	Financial Statement	English	35 mins	94.99	4.1941066	309	94.99	8152	16946	Alex Glassey	2	313	4.254634143	https://www.udemy.com/course/intro-to-financial-statements-for-entrepreneurs/	0								0.7157464623451233	50.12479201331115	Alex Glassey	male	/home/xyubl/Downloads/video_741-820/58977.mp4	1	1	19	2.9444389791664403
66383	A Beginners Guide to Technical Analysis of Stock Charts	Learn all about charting from A-Z from an experienced Trader - Increase your odds of Success trading the Stock Market	Finance & Accounting	Investing & Trading	Stock Trading	English	8.5 hours	39.99	4.327341	525	14.99	2911	5829	Tom Watson	2	1448	4.379383088	https://www.udemy.com/course/beginners-guide-to-technical-analysis/	0								0.622655987739563	119.92211992211992	Tom Watson	male	/home/xyubl/Downloads/video_741-820/66383.mp4	1	1	20	2.995732273553991
73860	Financial Risk Manager (FRM) Certification: Level I	Unleash the Secret to Pass FRM-I Exam at One Go	Finance & Accounting	Finance Cert & Exam Prep	Financial Risk Manager (FRM)	English	24 hours	49.99	3.1668217	126	49.99	408	1253	EduPristine Inc	2	154	3.38119585	https://www.udemy.com/course/financial-risk-manager-frm-certification-level-i/	0								0.6987264752388	105.76090576090576	EduPristine Inc	female	/home/xyubl/Downloads/video_821-900/73860.mp4	1	0	10	2.302585092994046
97338	Forex Basics	An Overview Of The Forex Market To Help You Determine If Getting Involved Is For You. / Get Your Feet Wet Here	Finance & Accounting	Investing & Trading	Forex	English	3.5 hours	19.99	4.0395412	1194	14.99	25969	27943	Jared Passey	2	1629	4.1775246	https://www.udemy.com/course/forex-basics/	0	1.0	1.0	1.0	1.0	0.5189226317021282	0.321623162561741	3.344487165957446	0.8994054794311523	297.8	Jared Passey	male	/home/xyubl/Downloads/video_821-900/97338.mp4	1	1	22	3.091042453358316
109988	Understand Banks & Financial Markets	Learn about money, (central) banks and financial markets: participants, products, trading motives, pricing and structure	Finance & Accounting	Finance	Financial Markets	English	2 hours	49.99	4.4163094	1181	14.99	5355	7155	Michiel van den Broek	3	1186	4.372908972	https://www.udemy.com/course/the-banking-fundamentals-course/	1	0.0261437908496732	0.0784313725490196	0.0	0.0	0.3976034371895426	0.9645754642419452	2.76627491764706	0.6879153251647949	61.2	Michiel van den Broek	male	/home/xyubl/Downloads/video_1-100/109988.mp4	1	1	15	2.70805020110221
116128	CPA 101: How To Master Affiliate Marketing In No Time	Learn everything about CPA to earn at least $1000 every month from home working only 2 hours a day.	Finance & Accounting	Accounting & Bookkeeping	CPA Marketing	English	1 hour	84.99	2.4434888	99	14.99	11545	53792	Niche Tyrant	6	1534	3.896839068	https://www.udemy.com/course/cpa-marketing-101/	0								0.8215630650520325	105.0	Niche Tyrant	male	/home/xyubl/Downloads/video_1-100/116128.mp4	1	1	19	2.9444389791664403
121372	How to Trade Stock Options: Profiting in Up and Down Markets	How I grew my trading account by 30% in one year. Follow this proven options blueprint for an accelerated path to wealth	Finance & Accounting	Investing & Trading	Options Trading	English	26.5 hours	84.99	4.8250165	330	14.99	5628	7086	Travis Wilkerson	1	330	4.8250556	https://www.udemy.com/course/how-to-trade-stock-options-profiting-in-up-and-down-markets/	0								0.6279905438423157	407.56666666666666	Travis Wilkerson	male	/home/xyubl/Downloads/video_1-100/121372.mp4	1	1	22	3.091042453358316
130298	Financial Budgeting and Forecasting In Excel Complete Course	Template Included! Learn how to build a financial model using Microsoft Excel. Become a financial model expert 2021	Finance & Accounting	Financial Modeling & Analysis	Financial Modeling	English	6.5 hours	84.99	3.8326705	526	14.99	4310	91678	Chris Benjamin, MBA & CFO	81	5357	4.130291015	https://www.udemy.com/course/financial-modeling-in-excel-for-startups/	1	0.0851063829787234	0.0	0.1875	0.0666666666666666	0.2453540167446808	0.6915078181654223	3.454399314893617	0.7183892130851746	168.63333333333333	Chris Benjamin, MBA & CFO	male	/home/xyubl/Downloads/video_1-100/130298.mp4	1	1	18	2.8903717578961645
133428	Accounting: From Beginner to Advanced!	Learn accounting like never before. Learn easy and fast. Easy to understand Accounting. #1 accounting course online.	Finance & Accounting	Accounting & Bookkeeping	Accounting	English	4 hours	84.99	4.4972615	4763	14.99	20353	43770	Stefan Ignatovski, Ph.D.	10	9290	4.376841668	https://www.udemy.com/course/accounting101/	1	0.0334378265412748	0.0532915360501567	0.0250783699059561	0.0219435736677116	0.4100699569404389	0.738275139008872	2.607515019331243	0.7705346941947937	223.63333333333333	Stefan Ignatovski, Ph.D.	male	/home/xyubl/Downloads/video_1-100/133428.mp4	1	1	17	2.833213344056216
145404	Personal Financial Well-Being	Understanding Your Financial Life	Finance & Accounting	Finance	Personal Finance	English	10.5 hours	19.99	4.371723	1094	19.99	6219	6221	Richard Okumoto	1	1094	4.4040127	https://www.udemy.com/course/personal-financial-well-being/	1	0.0	0.0	0.0	0.0	0.2144921469699697	0.342884833208637	2.921435631531532	0.7750013470649719	115.8157	Richard Okumoto	male	/home/xyubl/Downloads/video_101-200/145404.mp4	1	1	4	1.3862943611198906
149178	Credit Scores: How Personal Credit Works	Learn everything you need to know about how your credit score works and how to improve it!	Finance & Accounting	Finance		English	1 hour	19.99	4.608092	102	14.99	10473	11789	Huntly Mayo Malasky	2	179	4.5497702	https://www.udemy.com/course/how-credit-scores-work/	0								0.7889552116394043	67.2	Huntly Mayo Malasky	male	/home/xyubl/Downloads/video_101-200/149178.mp4	1	1	17	2.833213344056216
153210	Learn Accounting. Understand Business.	Developing a Business Mindset through the Application of Accounting Concepts	Finance & Accounting	Accounting & Bookkeeping	Accounting	English	2 hours	84.99	4.084629	208	14.99	6193	6695	Calvin Liu	2	328	4.1505992	https://www.udemy.com/course/learn-accounting-understand-business/	0								0.7200171947479248	132.8	Calvin Liu	male	/home/xyubl/Downloads/video_101-200/153210.mp4	1	1	10	2.302585092994046
158830	Samuel and Co Trading - 5 Star Reviews - Introduction to FX	Learn to trade the financial markets with a professional by your side the entire journey, change starts now.	Finance & Accounting	Investing & Trading	Stock Trading	English	5.5 hours	54.99	4.412484	177	54.99	825	1005	Samuel Leach	2	193	4.101417433	https://www.udemy.com/course/samuel-co-forex-and-stock-trading/	1	0.0422535211267605	0.028169014084507	0.0845070422535211	0.0140845070422535	0.2880281099436619	0.6181645037668231	3.361747228169015	0.5883926153182983	317.1168	Samuel Leach	male	/home/xyubl/Downloads/video_101-200/158830.mp4	1	1	18	2.8903717578961645
160322	Basics of Finance and Budgeting	Understanding Basics Of Finance and Budgets For Non - Financial Individuals	Finance & Accounting	Finance	Business Budgeting	English	3.5 hours	19.99	3.4229696	82	14.99	827	27956	Dr. Jeelani S. F.	5	1569	4.263290124	https://www.udemy.com/course/basics-of-finance-and-budgeting/	0								0.6676060557365417	295.97069597069594	Dr. Jeelani S. F.	male	/home/xyubl/Downloads/video_101-200/160322.mp4	1	1	11	2.3978952727983707
188418	Tape Reading: Learn how to read the tape for day trading	Learn how to read the tape, a technique of day trading veterans use to profit from the stock market every day!	Finance & Accounting	Investing & Trading	Tape Reading	English	9 hours	94.99	4.361992	561	16.99	2879	2883	Jose Santiago	1	561	4.355965	https://www.udemy.com/course/tape-reading-101-learn-how-to-read-the-tape-for-day-trading/	0								0.7068787217140198	2132.708333333333	Jose Santiago	male	/home/xyubl/Downloads/video_201-300/188418.mp4	1	1	21	3.044522437723423
199136	Forex Price Action Secrets	With Free Powerful Price Action Indicator ,Verified Real Live Account Stats and Live Trade Examples 2019	Finance & Accounting	Investing & Trading	Forex	English	3 hours	84.99	4.232953	222	14.99	1286	6754	William simpson	6	776	4.038352133	https://www.udemy.com/course/forex-trading-how-to-become-a-forex-ninja-using-price-action/	0								0.5456644892692566	14.848181514848182	William simpson	male	/home/xyubl/Downloads/video_201-300/199136.mp4	1	1	16	2.772588722239781
203732	Value Investing Bootcamp: How to Invest Wisely	Learn the Secrets of the Best Stock Investors, Manage Your Own Portfolio, And Earn Market Beating Returns	Finance & Accounting	Investing & Trading	Value Investing	English	3.5 hours	109.99	4.560799	5799	19.99	37723	37729	Nick Kraakman	1	5799	4.567846	https://www.udemy.com/course/value-investing-bootcamp-how-to-invest-wisely/	0								0.7872116565704346	99.56709956709956	Nick Kraakman	male	/home/xyubl/Downloads/video_201-300/203732.mp4	1	1	17	2.833213344056216
206092	Principles of Financial Accounting	Learn the complete accounting cycle -recording business transactions to presenting the Balance Sheet & Income Statement	Finance & Accounting	Accounting & Bookkeeping	Financial Accounting	English	2.5 hours	19.99	4.355299	173	19.99	1903	7555	Dr. John Daniel Mclellan	25	588	4.127549291	https://www.udemy.com/course/how-to-get-an-a-in-accounting-lessons-from-the-log-cabin/	1	0.0	0.0	0.0	0.0	0.5120906440000002	0.9656843565927452	2.3976978752112657	0.7420861721038818	70.96666666666667	Dr. John Daniel Mclellan	male	/home/xyubl/Downloads/video_201-300/206092.mp4	1	1	16	2.772588722239781
215728	Shark Accounting - Building a Business by the Numbers!	An introduction to management accounting for entrepreneurs and business owners.	Finance & Accounting	Accounting & Bookkeeping	Accounting	English	1 hour	19.99	4.174498	419	14.99	7246	89168	Vincent Turner	3	11013	4.487801189	https://www.udemy.com/course/shark-accounting/	0	0.0	0.0	0.0	0.0	0.5181763360752687	0.1945817045309777	3.7678357602150414	0.6219441890716553	79.98667998667999	Vincent Turner	male	/home/xyubl/Downloads/video_301-350/215728.mp4	1	1	10	2.302585092994046
233900	Get Started With Penny Stocks -Step by Step Guide July 2021	Learn the top advanced strategies for Penny Stock Trading to safely invest in today's market in 2021. Learn successfully	Finance & Accounting	Investing & Trading	Penny Stocks	English	3 hours	84.99	4.3770757	151	14.99	11040	47079	Mubarak Shah, CPA	2	271	4.56698515	https://www.udemy.com/course/trading-penny-stocks-advanced-strategies/	0								0.8101696968078613	354.0	Mubarak Shah, CPA	male	/home/xyubl/Downloads/video_351-400/233900.mp4	1	1	19	2.9444389791664403
240256	Forex Breakout Profits: The Definitive Guide	Learn exactly how I trade Forex breakouts for consistent profits in this step by step guide	Finance & Accounting	Investing & Trading	Forex	English	1.5 hours	24.99	4.191447	119	14.99	750	750	Justin Bennett	1	119	4.1895556	https://www.udemy.com/course/forex-breakout-profits-the-definitive-guide/	0								0.6946247816085815	90.73333333333332	Justin Bennett	male	/home/xyubl/Downloads/video_351-400/240256.mp4	1	1	16	2.772588722239781
249934	Finance for Non Finance Executives	Accounting and Finance Fundamentals for Non Finance Executives	Finance & Accounting	Finance	Finance Fundamentals	English	19.5 hours	84.99	4.242577	716	14.99	3800	194016	Raja Natarajan, B.Com., PGDBA, FCA	111	10916	4.20030241	https://www.udemy.com/course/finance-for-non-finance-executives/	0								0.5643646121025085	196.1	Raja Natarajan, B.Com., PGDBA, FCA	male	/home/xyubl/Downloads/video_351-400/249934.mp4	1	1	8	2.0794415416798357
252396	How to Pick The Right Penny Stocks To Invest In July 2021	Learn the top techniques and strategies to take your stock trading to the next level and learn how to make 5k/month now!	Finance & Accounting	Investing & Trading	Penny Stocks	English	3.5 hours	84.99	4.7569275	120	14.99	14173	47079	Mubarak Shah, CPA	2	271	4.56698515	https://www.udemy.com/course/how-to-make-5000month-trading-penny-stocks/	0								0.7329350113868713	297.0	Mubarak Shah, CPA	male	/home/xyubl/Downloads/video_351-400/252396.mp4	1	1	22	3.091042453358316
260066	Banking Credit Analysis Process (for Bankers)	Course for Bankers, Consultants and managers to Understand Credit Analysis Process from Indian Context.	Finance & Accounting	Investing & Trading	Credit Analysis	English	38.5 hours	99.99	4.420913	1806	17.99	9064	194016	Raja Natarajan, B.Com., PGDBA, FCA	111	10916	4.20030241	https://www.udemy.com/course/credit-analysis-process/	1	0.1692307692307692	0.123076923076923	0.2	0.1846153846153846	0.2430134386205128	0.6619962231384532	2.6493399128205133	0.7452470064163208	42.333333333333336	Raja Natarajan, B.Com., PGDBA, FCA	male	/home/xyubl/Downloads/video_401-500/260066.mp4	1	1	14	2.6390573296152584
